2278.537000000,2559.242000000
2803.970000000,2071.729000000
2492.688000000,2031.852000000
2472.312000000,2054.024000000
2922.212000000,2755.319000000
2560.655000000,2443.279000000
2529.155000000,1899.311000000
3124.345000000,2409.251000000
2482.637000000,2044.811000000
2493.442000000,2024.936000000
2488.993000000,2060.434000000
3350.950000000,2241.837000000
2516.611000000,2197.887000000
2481.722000000,2032.058000000
2954.376000000,2876.536000000
2361.271000000,2866.988000000
2797.441000000,2747.889000000
2648.772000000,2801.735000000
2301.526000000,2394.293000000
2501.873000000,2038.942000000
2512.541000000,2036.944000000
2878.461000000,2101.750000000
2508.499000000,2052.643000000
2363.529000000,2838.985000000
2166.236000000,2266.269000000
2540.429000000,2027.813000000
2043.782000000,1586.303000000
2515.221000000,2271.935000000
2698.390000000,2894.211000000
2427.548000000,1918.406000000
2619.978000000,2480.797000000
2281.037000000,2069.201000000
2953.462000000,2880.054000000
2512.693000000,2060.238000000
2920.729000000,2759.565000000
2512.809000000,2012.902000000
2668.556000000,2078.567000000
2573.102000000,2039.156000000
2465.378000000,2013.110000000
2697.783000000,2897.609000000
2635.757000000,2216.990000000
2226.910000000,2024.144000000
2473.814000000,2486.921000000
2623.511000000,2783.107000000
2067.295000000,2556.772000000
2251.671000000,1677.957000000
2529.103000000,2349.963000000
2275.978000000,2537.770000000
2275.072000000,2328.892000000
3170.851000000,2033.749000000
