
206, 6641198.4588466138
207, 6655426.7037663674
208, 3145669.4970899983
209, 6694673.0947829718
210, 7976833.7944603013
211, 8628119.9223768264
212, 8872201.3047798555
213, 9825929.0998258069
214, 10945617.645995118
215, 11389471.144084556
217, 17304110.813322328
218, 17821436.619103957
219, 21608370.315212432
220, 21064988.719810657
221, 30637887.455881238
222, 31532913.228412755
223, 37395496.4248043
224, 41836351.86908666
225, 51611158.87039502
228, 87625572.02303651
231, 166076124.22242454
233, 264802130.69624203
235, 393497120.81007934
237, 550432116.50162673
239, 765636579.81291592
240, 963347375.65869713
241, 1051299532.9257498
242, 1433151501.6742663
243, 1585081617.1357908
244, 1819257697.9039285
245, 2909971920.4568934
