2278.537000000,2559.242000000,7684.223711000
2803.970000000,2071.729000000,6873.849195903
2492.688000000,2031.852000000,5780.960474057
2472.312000000,2054.024000000,2810.606200334
2922.212000000,2755.319000000,1557.399389081
2560.655000000,2443.279000000,1494.169957407
2529.155000000,1899.311000000,1215.626055237
3124.345000000,2409.251000000,809.841447326
2482.637000000,2044.811000000,807.606861329
2493.442000000,2024.936000000,639.734835483
2488.993000000,2060.434000000,588.301559989
3350.950000000,2241.837000000,562.341325190
2516.611000000,2197.887000000,497.049910576
2481.722000000,2032.058000000,475.116376378
2954.376000000,2876.536000000,459.198012837
2361.271000000,2866.988000000,455.407312683
2797.441000000,2747.889000000,440.554863507
2648.772000000,2801.735000000,422.279501306
2301.526000000,2394.293000000,411.907784868
2501.873000000,2038.942000000,384.414711760
2512.541000000,2036.944000000,375.664364614
2878.461000000,2101.750000000,356.779588289
2508.499000000,2052.643000000,348.016632215
2363.529000000,2838.985000000,343.557947900
2166.236000000,2266.269000000,339.468905380
2540.429000000,2027.813000000,312.176351085
2043.782000000,1586.303000000,300.054400244
2515.221000000,2271.935000000,283.922623942
2698.390000000,2894.211000000,274.915989655
2427.548000000,1918.406000000,264.972009888
2619.978000000,2480.797000000,243.668842346
2281.037000000,2069.201000000,234.207069479
2953.462000000,2880.054000000,223.460105773
2512.693000000,2060.238000000,215.774440915
2920.729000000,2759.565000000,208.737270391
2512.809000000,2012.902000000,205.116217883
2668.556000000,2078.567000000,205.116217883
2573.102000000,2039.156000000,204.927385838
2465.378000000,2013.110000000,202.301917868
2697.783000000,2897.609000000,192.309172891
2635.757000000,2216.990000000,190.370653174
2226.910000000,2024.144000000,184.501541918
2473.814000000,2486.921000000,175.388050184
2623.511000000,2783.107000000,174.260918983
2067.295000000,2556.772000000,172.981635922
2251.671000000,1677.957000000,172.981635922
2529.103000000,2349.963000000,171.080298760
2275.978000000,2537.770000000,169.980851320
2275.072000000,2328.892000000,169.044093164
3170.851000000,2033.749000000,166.724721255
